Source,Target,Weight,Type
Goh (AC Slater Remix),When A Fire Starts To Burn,0.007910048000000001,Undirected
D.A.N.C.E,I Want It That Way,0.009291379,Undirected
Mi Gente,Need You,0.009651856,Undirected
"Harder, Better, Faster, Stronger",D.A.N.C.E,0.011667779,Undirected
Pressure (Valentino Khan Remix),Play That Funky Music (Gordo Edit),0.012140668,Undirected
Omen (Jonas Rathsman Remix),Cream,0.012201841000000001,Undirected
EDM O'CLOCK,Formation,0.012490718999999999,Undirected
Baby,Planet,0.012651339,Undirected
HUMBLE (Skrillex Remix),SICKO MODE,0.013039773000000001,Undirected
Baby,Midnight Hour,0.013189717,Undirected
Prophecy,Loyal,0.013375673000000001,Undirected
Everybody (Backstreet's Back),You Little Beauty,0.013734286000000002,Undirected
SPEEDBOAT,Only Human,0.01406238,Undirected
Get It Together,Strangers,0.014107763999999998,Undirected
Just,Planet,0.014248521,Undirected
I Want It That Way,Something New,0.014975334,Undirected
Play That Funky Music (Gordo Edit),I Want You,0.014985947,Undirected
Pressure (Valentino Khan Remix),Midnight Hour,0.014995727,Undirected
Pursuit of Happiness,SeeSaw (Club Version),0.015053553999999999,Undirected
Can't Do Without You (Tale Of Us Remix),Pursuit of Happiness,0.015167372,Undirected
Rhymes,Holding On,0.015283224,Undirected
Missing You,Goh (AC Slater Remix),0.015496886999999999,Undirected
Flashing Lights,I Want It That Way,0.016009059,Undirected
Missing You,When A Fire Starts To Burn,0.016172278999999998,Undirected
D.A.N.C.E,Play That Funky Music (Gordo Edit),0.016598871,Undirected
goosebumps.m4a,TURN OFF THE LIGHTS,0.016738571,Undirected
When A Fire Starts To Burn,TURN OFF THE LIGHTS,0.016872967,Undirected
I Like It (Dillon Francis Remix),Drunk in Love,0.016949845,Undirected
Poison (RIFFA Bootleg),Goh (AC Slater Remix),0.017426709,Undirected
0 To 100,Going Bad,0.017463688999999998,Undirected
My Life (Kyle Watson Remix),Get It Together,0.017505391000000002,Undirected
Just,Memories That You Call (ODESZA & Golden Features VIP Remix),0.017526458,Undirected
Fade,Crazy In Love,0.017618641,Undirected
Single Ladies (Put a Ring on It),Mi Gente,0.017632693999999997,Undirected
Latch,Limit To Your Love (Club remix),0.018012393999999998,Undirected
Don't Go (Dusky Remix),Underwater (Adam Port Remix),0.018176693,Undirected
Memories That You Call (ODESZA & Golden Features VIP Remix),Planet,0.018180646,Undirected
Midnight City (Eric Prydz Remix),Easy.m4a,0.018665332,Undirected
Everybody (Backstreet's Back),On Sight,0.018850681,Undirected
D.A.N.C.E,I Want You,0.018885943999999998,Undirected
In The End,The Next Episode,0.019339793,Undirected
Memories That You Call (ODESZA & Golden Features VIP Remix),Baby,0.019353238999999998,Undirected
Prophecy,D.A.N.C.E,0.019355986999999998,Undirected
This Is America (remix),EDM O'CLOCK,0.019438069,Undirected
Genesis,Memories That You Call (ODESZA & Golden Features VIP Remix),0.019771215,Undirected
Aerodynamic,Father Stretch My Hands Pt. 1,0.019888337,Undirected
Limit To Your Love (Club remix),Bambro Koyo Ganda,0.01999773,Undirected
Burns,Midnight City (Eric Prydz Remix),0.020112829,Undirected
You & Me,The Difference,0.020191911,Undirected
Genesis,Fade,0.020355962,Undirected
You Little Beauty,Missing You,0.020378754,Undirected
"Harder, Better, Faster, Stronger",Prophecy,0.020446221,Undirected
I Want You,Pressure (Valentino Khan Remix),0.020477442,Undirected
goosebumps.m4a,Pressure (Valentino Khan Remix),0.020525751999999998,Undirected
Pressure (Valentino Khan Remix),When A Fire Starts To Burn,0.020572533,Undirected
Baby,Genesis,0.020586655,Undirected
BREAK LAW,Get Low,0.020667994,Undirected
Bambro Koyo Ganda,Cream,0.020744316999999998,Undirected
Pressure (Valentino Khan Remix),One More Time (Capital People Remix),0.020779346,Undirected
My Life (Kyle Watson Remix),Midnight Hour,0.020785394,Undirected
Bloom (Lane 8 Remix),Say My Name (feat. Zyra),0.020793449,Undirected
Midnight Hour,Play That Funky Music (Gordo Edit),0.020952191000000002,Undirected
Holding On,This Is America (remix),0.020997867000000003,Undirected
Father Stretch My Hands Pt. 1,goosebumps.m4a,0.021127184,Undirected
Need You,5200,0.021228502000000003,Undirected
Underwater (Adam Port Remix),Aerodynamic,0.021343316,Undirected
Get Low,Say My Name (feat. Zyra),0.021444197999999998,Undirected
Formation,This Is America (remix),0.02145671,Undirected
You Little Beauty,Work (DJZA Tech House Remix),0.021536233999999998,Undirected
Need You,"Harder, Better, Faster, Stronger",0.021559799999999997,Undirected
Just,Baby,0.021615912,Undirected
Formation,Mind (Malaa remix),0.021637381,Undirected
Rhymes,Midnight Hour,0.022268877000000003,Undirected
D.A.N.C.E,Bloom (Lane 8 Remix),0.022603312999999996,Undirected
Latch,Drunk in Love,0.022870941000000002,Undirected
Goh (AC Slater Remix),TURN OFF THE LIGHTS,0.023054228,Undirected
Mi Gente,D.A.N.C.E,0.023108327999999997,Undirected
Drunk in Love,You & Me,0.023169632000000003,Undirected
goosebumps.m4a,Veins,0.02321673,Undirected
Unfaith,goosebumps.m4a,0.023294357999999998,Undirected
Say My Name (feat. Zyra),Tides (Dixon Remix),0.023344617,Undirected
Genesis,Just,0.023423698,Undirected
Need You,D.A.N.C.E,0.023443126,Undirected
Goh (AC Slater Remix),Work (DJZA Tech House Remix),0.023459392000000003,Undirected
When A Fire Starts To Burn,Work (DJZA Tech House Remix),0.023463333,Undirected
You Little Beauty,Only Human,0.023701775,Undirected
Don't Go (Dusky Remix),Father Stretch My Hands Pt. 1,0.023703513,Undirected
In The End,Bambro Koyo Ganda,0.023738389,Undirected
Fade,Just,0.023759454,Undirected
Play That Funky Music (Gordo Edit),Need You,0.02378064,Undirected
When A Fire Starts To Burn,Baby,0.024021356,Undirected
TURN OFF THE LIGHTS,Pressure (Valentino Khan Remix),0.024021564,Undirected
BREAK LAW,When A Fire Starts To Burn,0.024085096,Undirected
I'm Sprung,Sexual Healing (Kygo Remix),0.024087447,Undirected
goosebumps.m4a,One More Time (Capital People Remix),0.024125362999999997,Undirected
CP-1,Work (DJZA Tech House Remix),0.024148688999999997,Undirected
Get Low,Zoom Zoom,0.024184721,Undirected
Mind (Malaa remix),You Little Beauty,0.024246275,Undirected
goosebumps.m4a,Pursuit of Happiness,0.024478242999999997,Undirected
CP-1,You Little Beauty,0.024496892000000003,Undirected
Rhymes,Genesis,0.024524647000000004,Undirected
Missing You,Baby,0.024548228,Undirected
Wake,Aerodynamic,0.02463348,Undirected
Pony,Exhale,0.024714179,Undirected
Never Be Like You (Disclosure Remix),BREAK LAW,0.024774533999999997,Undirected
Underwater (Adam Port Remix),Bloom (Lane 8 Remix),0.024792584,Undirected
D.A.N.C.E,Underwater (Adam Port Remix),0.024877312999999998,Undirected
Pressure (Valentino Khan Remix),Pursuit of Happiness,0.024926386000000002,Undirected
"Harder, Better, Faster, Stronger",Loyal,0.024951277,Undirected
Don't Go (Dusky Remix),Aerodynamic,0.024995555,Undirected
Veins,Pursuit of Happiness,0.025061145,Undirected
Poison (RIFFA Bootleg),Runaway (U&I),0.025079572,Undirected
Mind (Malaa remix),Everybody (Backstreet's Back),0.025224062999999998,Undirected
Missing You,Pressure (Valentino Khan Remix),0.025250903999999998,Undirected
Baby,Rhymes,0.025297168999999998,Undirected
My Life (Kyle Watson Remix),When A Fire Starts To Burn,0.025475846,Undirected
Work (DJZA Tech House Remix),TURN OFF THE LIGHTS,0.025488788999999998,Undirected
Work (DJZA Tech House Remix),Missing You,0.025517467999999998,Undirected
SPEEDBOAT,Mind (Malaa remix),0.025568267999999998,Undirected
Genesis,Notorious,0.025624626,Undirected
Zoom Zoom,BREAK LAW,0.025726467000000003,Undirected
Don't Go (Dusky Remix),Genesis,0.025799013,Undirected
Tight,TURN OFF THE LIGHTS,0.025996355,Undirected
Veins,TURN OFF THE LIGHTS,0.026147157,Undirected
Play That Funky Music (Gordo Edit),5200,0.026187291,Undirected
Face My Fears.m4a,Patty Cake,0.026196675,Undirected
Get It Together,Latch,0.026235921000000002,Undirected
Work (DJZA Tech House Remix),Limit To Your Love (Club remix),0.026244622000000002,Undirected
Runaway (U&I),Limit To Your Love (Club remix),0.026391757999999998,Undirected
Veins,No Return,0.026414095,Undirected
Latch,Strangers,0.026504227999999998,Undirected
Wake,D.A.N.C.E,0.026511639,Undirected
Nice For What,The Next Episode,0.026536632999999997,Undirected
Single Ladies (Put a Ring on It),I Want It That Way,0.026605586,Undirected
Nice For What,Holdin' On,0.02664395,Undirected
Missing You,Never Be Like You (Disclosure Remix),0.02668964,Undirected
Tight,Better Off Alone,0.026799873999999998,Undirected
Genesis,Missing You,0.026858764,Undirected
Pressure (Valentino Khan Remix),Goh (AC Slater Remix),0.026934257000000003,Undirected
BREAK LAW,Work (DJZA Tech House Remix),0.026976177,Undirected
Drunk in Love,My Life (Kyle Watson Remix),0.026999281,Undirected
Don't Go (Dusky Remix),Baby,0.027007468,Undirected
Omen (Jonas Rathsman Remix),Bambro Koyo Ganda,0.027106572000000002,Undirected
Missing You,Midnight Hour,0.027160487999999997,Undirected
Just,Missing You,0.027195816,Undirected
When A Fire Starts To Burn,Don't Go (Dusky Remix),0.027257837000000004,Undirected
I Want You,Pony,0.027301621,Undirected
Just,Never Be Like You (Disclosure Remix),0.027413837000000003,Undirected
When A Fire Starts To Burn,Midnight Hour,0.027463111000000002,Undirected
My Life (Kyle Watson Remix),Work (DJZA Tech House Remix),0.027665743,Undirected
BREAK LAW,Just,0.027698808999999998,Undirected
Holding On,Formation,0.027823885,Undirected
Prophecy,raingurl,0.027864991000000002,Undirected
Mind (Malaa remix),Holding On,0.027865025,Undirected
BREAK LAW,Say My Name (feat. Zyra),0.027873381000000003,Undirected
Don't Go (Dusky Remix),Planet,0.027889611,Undirected
When A Fire Starts To Burn,goosebumps.m4a,0.027957075,Undirected
TURN OFF THE LIGHTS,Father Stretch My Hands Pt. 1,0.028091621,Undirected
Midnight Hour,Can't Do Without You (Tale Of Us Remix),0.028171889,Undirected
Missing You,TURN OFF THE LIGHTS,0.028192152999999998,Undirected
Something New,Flashing Lights,0.028249609,Undirected
I Want You,Prophecy,0.028325537,Undirected
BREAK LAW,Underwater (Adam Port Remix),0.028589233999999998,Undirected
Brighter,My Life (Kyle Watson Remix),0.028869545,Undirected
Drunk in Love,The Difference,0.028892937999999996,Undirected
Easy.m4a,Aerodynamic,0.028917082,Undirected
Latch,My Life (Kyle Watson Remix),0.029057807999999997,Undirected
Underwater (Adam Port Remix),Genesis,0.029213157000000003,Undirected
SPEEDBOAT,In The End,0.029216807999999997,Undirected
Wake,"Harder, Better, Faster, Stronger",0.029252768999999998,Undirected
Missing You,Masta Blasta (THE REBIRTH),0.029375521,Undirected
Losing It,Show Me Show Me,0.029427007999999998,Undirected
Loyal,Fly Kicks (Wax Motif Remix),0.029475828,Undirected
Poison (RIFFA Bootleg),Prophecy,0.029504182,Undirected
Need You,raingurl,0.029594881,Undirected
Rhymes,This Is America (remix),0.029683854,Undirected
Wake,Underwater (Adam Port Remix),0.029730727999999998,Undirected
5200,Veins,0.029915476,Undirected
Father Stretch My Hands Pt. 1,When A Fire Starts To Burn,0.029965936000000002,Undirected
Say My Name (feat. Zyra),goosebumps.m4a,0.030051272999999996,Undirected
Cry Me a River,Exhale,0.030226011,Undirected
Everybody (Backstreet's Back),SPEEDBOAT,0.030273257,Undirected
Baby,My Life (Kyle Watson Remix),0.030412065,Undirected
HUMBLE (Skrillex Remix),Drunk in Love,0.030479235,Undirected
Pony,Prophecy,0.030545931000000002,Undirected
Poison (RIFFA Bootleg),Drop It LIke It's Hot (DEL30 remix),0.030584238,Undirected
Pressure (Valentino Khan Remix),Baby,0.030645321,Undirected
Latch,You Are Going to Love Me and Scream,0.030652212999999998,Undirected
Underwater (Adam Port Remix),Say My Name (feat. Zyra),0.03069501,Undirected
TURN OFF THE LIGHTS,Play That Funky Music (Gordo Edit),0.030699373,Undirected
My Life (Kyle Watson Remix),Goh (AC Slater Remix),0.030728587999999998,Undirected
I Want You,Poison (RIFFA Bootleg),0.030797513,Undirected
You & Me,I Like It (Dillon Francis Remix),0.030823827,Undirected
Wake,Need You,0.030866453999999998,Undirected
Only Human,Mind (Malaa remix),0.030906811,Undirected
Cry Me a River,Pony,0.030933454,Undirected
Fade,Never Be Like You (Disclosure Remix),0.031115722999999998,Undirected
Poison (RIFFA Bootleg),Only Human,0.031136293,Undirected
When A Fire Starts To Burn,Underwater (Adam Port Remix),0.031204957000000002,Undirected
Single Ladies (Put a Ring on It),Flashing Lights,0.031519217999999995,Undirected
Never Be Like You (Disclosure Remix),Low Key Goddess,0.031548197,Undirected
Single Ladies (Put a Ring on It),0 To 100,0.031553231,Undirected
Pressure (Valentino Khan Remix),Can't Do Without You (Tale Of Us Remix),0.031744025,Undirected
Everybody (Backstreet's Back),The Next Episode,0.031814163,Undirected
Goh (AC Slater Remix),I Want You,0.031829981,Undirected
Genesis,Planet,0.031885497,Undirected
Pressure (Valentino Khan Remix),No Return,0.031937412000000005,Undirected
Low Key Goddess,Just,0.031955236,Undirected
Pony,Goh (AC Slater Remix),0.032358097,Undirected
When A Fire Starts To Burn,Planet,0.032544738,Undirected
HUMBLE (Skrillex Remix),Pony,0.032620717,Undirected
Bloom (Lane 8 Remix),I Want You,0.032667577999999996,Undirected
Limit To Your Love (Club remix),Everybody (Backstreet's Back),0.032738592999999996,Undirected
Omen (Jonas Rathsman Remix),Tell Me,0.032813457000000004,Undirected
Tell Me,Mumbai Power,0.032891832,Undirected
Play That Funky Music (Gordo Edit),No Return,0.032979562999999996,Undirected
Pony,Patty Cake,0.03297962,Undirected
Father Stretch My Hands Pt. 1,Underwater (Adam Port Remix),0.033008621,Undirected
BREAK LAW,Fade,0.033026742000000005,Undirected
Crazy In Love,BREAK LAW,0.033070091,Undirected
Just,Okay,0.033084497000000004,Undirected
Play That Funky Music (Gordo Edit),When A Fire Starts To Burn,0.033090529,Undirected
Estamos Bien,Can't Do Without You (Tale Of Us Remix),0.033091958,Undirected
Estamos Bien,Pursuit of Happiness,0.033099855,Undirected
Midnight Hour,Genesis,0.033106676,Undirected
Stimulation,Masta Blasta (THE REBIRTH),0.03321291,Undirected
Rhymes,Memories That You Call (ODESZA & Golden Features VIP Remix),0.033253933,Undirected
Pursuit of Happiness,Play That Funky Music (Gordo Edit),0.033371942,Undirected
Planet,Midnight Hour,0.033385249,Undirected
Need You,One More Time (Capital People Remix),0.033398476,Undirected
Okay,Rhymes,0.033423805,Undirected
One More Time (Capital People Remix),When A Fire Starts To Burn,0.033427233,Undirected
Just,Midnight Hour,0.03344166,Undirected
Unfaith,Aerodynamic,0.033462368,Undirected
Aerodynamic,Midnight City (Eric Prydz Remix),0.033486101000000004,Undirected
Get It Together,Goh (AC Slater Remix),0.033504529,Undirected
Limit To Your Love (Club remix),Get It Together,0.03365082,Undirected
Pressure (Valentino Khan Remix),Veins,0.033690153,Undirected
Memories That You Call (ODESZA & Golden Features VIP Remix),Fade,0.033705862,Undirected
Work (DJZA Tech House Remix),Get It Together,0.033745807,Undirected
Play That Funky Music (Gordo Edit),goosebumps.m4a,0.033750254,Undirected
Kiss It Better (Four Tet Remix),You Are Going to Love Me and Scream,0.033871185,Undirected
D.A.N.C.E,Pressure (Valentino Khan Remix),0.033909344,Undirected
No Return,Pursuit of Happiness,0.034048037,Undirected
Aerodynamic,D.A.N.C.E,0.034072297,Undirected
Okay,Midnight Hour,0.034109653,Undirected
Don't Go (Dusky Remix),Missing You,0.034266608,Undirected
Just,When A Fire Starts To Burn,0.034333731,Undirected
Estamos Bien,SeeSaw (Club Version),0.034399214,Undirected
Y.O.D.O,Yummy (Dance remix),0.034619047,Undirected
Missing You,Play That Funky Music (Gordo Edit),0.034621724,Undirected
Hold Tight,Drop It LIke It's Hot (DEL30 remix),0.034743357999999995,Undirected
SeeSaw (Club Version),Can't Do Without You (Tale Of Us Remix),0.034747732,Undirected
Sexual Healing (Kygo Remix),Holdin' On,0.034748006,Undirected
Say My Name (feat. Zyra),D.A.N.C.E,0.034752005,Undirected
Father Stretch My Hands Pt. 1,Say My Name (feat. Zyra),0.034853084,Undirected
Rhymes,Formation,0.034874395,Undirected
My Life (Kyle Watson Remix),This Is America (remix),0.034903422,Undirected
Runaway (U&I),Latch,0.034908447999999995,Undirected
